""	"input"	"filtered"	"denoised"	"merged"	"tabled"
"16724"	54319	49280	48562	43182	43182
"16725"	10904	9929	9713	9546	9546
"16726"	17964	16071	15787	15570	15570
"16727"	19345	16810	16259	15722	15722
"16728"	8397	6553	6365	6291	6291
"16729"	26277	23331	22681	21420	21420
"16730"	14741	12460	11945	11379	11379
"16731"	26596	25047	24721	24011	24011
"16732"	24548	22615	22313	22149	22149
"16733"	29488	27470	27231	27072	27072
"16734"	15886	14033	13727	13634	13634
"16735"	25309	23209	22873	22673	22673
"16736"	16674	14664	14472	14353	14353
"16737"	10219	9118	8826	8697	8697
"16738"	32583	30326	28968	25607	25607
"16739"	32491	29334	28525	26572	26572
"16740"	31344	28828	28010	25929	25929
"16741"	33814	31557	31079	30357	30357
"16742"	23656	21205	20192	18009	18009
"16743"	40283	35735	35163	31571	31571
"16744"	35435	33558	32730	30586	30586
"16745"	33408	31010	30119	27996	27996
"16746"	19382	17805	17717	17427	17427
"16747"	12068	11075	10974	10680	10680
"16748"	18151	16334	15772	14150	14150
"16749"	27301	26319	26200	25918	25918
"16750"	22555	16954	16268	14629	14629
"16751"	19989	16780	16202	15133	15133
"16752"	30715	26695	25524	22297	22297
"16753"	10088	7917	7589	7462	7462
"16754"	24592	22177	21877	21739	21739
"16755"	15284	14264	14086	13958	13958
"16756"	11799	11444	11334	11272	11272
"16757"	15218	12298	12058	11924	11924
"16758"	23058	21348	20839	19901	19901
"16759"	8523	4951	4656	4575	4575
"16760"	29857	26541	25931	24183	24183
"16761"	7266	4133	3715	3662	3662
"16763"	6059	4932	4732	4693	4693
"16765"	16419	14952	14776	14688	14688
"16766"	24164	20571	20296	20189	20189
"16767"	27499	19679	19531	19429	19429
"16768"	11758	10436	10312	10260	10260
"16769"	4666	2184	1872	1830	1830
"16770"	12469	10974	10798	10717	10717
"16771"	10069	8693	8476	8430	8430
"16772"	4276	1445	1296	1225	1225
"16773"	23667	16671	16463	16180	16180
"16774"	13056	10855	10715	10596	10596
"16775"	5610	4874	4773	4700	4700
"16776"	10696	6574	6244	6175	6175
"16777"	4259	3712	3634	3595	3595
"16779"	16769	15574	15441	15366	15366
"16780"	4292	2195	1924	1851	1851
"16781"	4678	2830	2661	2640	2640
"16782"	3365	940	828	818	818
"16783"	5960	4760	4585	4561	4561
"16784"	4757	2230	1976	1947	1947
"16785"	5223	1932	1697	1662	1662
"16786"	3588	1849	1668	1623	1623
"16787"	20692	18270	17527	15974	15974
"16788"	8244	7807	7698	7667	7667
"16789"	7229	4118	3801	3751	3751
"16790"	2834	1680	1469	1388	1388
"16791"	3739	1935	1729	1641	1641
"16792"	4152	1483	1264	1215	1215
"16793"	11495	9177	8900	8188	8188
"16794"	1592	774	693	691	691
"16795"	1452	401	299	279	279
"16797"	1075	283	228	228	228
"16798"	617	157	137	133	133
"16799"	3438	1084	934	917	917
"16800"	10248	8868	8701	8641	8641
"16801"	1493	509	479	469	469
"16802"	926	201	171	169	169
"16803"	7120	3706	3242	3195	3195
"16804"	5489	2009	1814	1769	1769
"16807"	4290	1645	1424	1415	1415
"16808"	963	133	88	86	86
"16809"	1610	359	300	298	298
"16810"	2428	958	841	826	826
"16811"	1016	246	171	168	168
"16812"	5022	3306	3033	2934	2934
"16815"	2637	1143	972	970	970
"16816"	1793	573	515	488	488
"16817"	6249	3783	3552	3511	3511
"16818"	999	168	150	149	149
"16819"	5663	3761	3640	3581	3581
"16820"	605	189	182	180	180
"16821"	11566	7363	7138	6991	6991
"16822"	559	112	74	72	72
"16823"	13788	10954	10748	10587	10587
"16824"	6868	4487	4176	4139	4139
"16826"	9452	6654	6394	6324	6324
"16827"	12463	8816	8387	8306	8306
"16828"	14134	13802	13748	13700	13700
"17786"	6515	3604	3286	3259	3259
"17787"	13174	9168	8946	8868	8868
"17788"	22883	18681	18279	18036	18036
"17789"	3150	2297	2168	2163	2163
"17790"	21117	19802	19665	19556	19556
"17791"	4176	1522	1318	1311	1311
"17792"	731	209	178	178	178
"17793"	2603	897	722	696	696
"17794"	6096	2844	2629	2604	2604
"17795"	2620	1630	1545	1538	1538
"17796"	4819	3869	3742	3683	3683
"17797"	86	25	19	19	19
"17798"	14960	11654	11261	11169	11169
"17799"	8278	8010	7983	7954	7954
"17800"	6365	4485	4244	4148	4148
"17801"	4890	3195	2987	2973	2973
"17802"	7565	4509	4257	4222	4222
"17803"	8340	4973	4756	4737	4737
"17804"	6682	4468	4208	4129	4129
"17805"	1898	845	721	713	713
"17806"	6663	6418	6383	6365	6365
"17807"	563	256	229	221	221
"17809"	2669	994	819	801	801
"17810"	2290	858	688	673	673
"17811"	219	118	92	92	92
"17812"	5494	3143	2944	2894	2894
"17813"	4298	1613	1436	1420	1420
"17814"	3475	1731	1577	1540	1540
"17815"	7928	5035	4781	4716	4716
"17816"	11688	8897	8537	8432	8432
"17818"	131	17	13	13	13
"17819"	3159	1649	1458	1440	1440
"17820"	3870	777	554	551	551
"17821"	8020	3260	3010	2982	2982
"17822"	2019	798	704	693	693
"17823"	6886	6387	6248	6209	6209
"17824"	3441	1081	826	797	797
"17825"	5203	1765	1324	1263	1263
"17826"	1573	468	331	320	320
"17827"	5879	2959	2734	2710	2710
"17828"	5973	2813	2575	2548	2548
"17829"	7218	4109	3759	3729	3729
"17830"	19938	17121	16927	16649	16649
