""	"reads.in"	"reads.out"
"16724-515rcbc0_S1_L001_R1_cut.fastq.gz"	38750	34753
"16725-515rcbc1_S2_L001_R1_cut.fastq.gz"	8034	6986
"16726-515rcbc2_S3_L001_R1_cut.fastq.gz"	12761	11290
"16727-515rcbc3_S4_L001_R1_cut.fastq.gz"	15095	11939
"16728-515rcbc4_S5_L001_R1_cut.fastq.gz"	6406	4480
"16729-515rcbc5_S6_L001_R1_cut.fastq.gz"	19004	16274
"16730-515rcbc6_S7_L001_R1_cut.fastq.gz"	11044	8582
"16731-515rcbc7_S8_L001_R1_cut.fastq.gz"	19278	17870
"16732-515rcbc8_S9_L001_R1_cut.fastq.gz"	18018	15889
"16733-515rcbc9_S10_L001_R1_cut.fastq.gz"	21180	18959
"16734-515rcbc10_S11_L001_R1_cut.fastq.gz"	11496	9613
"16735-515rcbc11_S12_L001_R1_cut.fastq.gz"	18653	16233
"16736-515rcbc12_S13_L001_R1_cut.fastq.gz"	12293	10103
"16737-515rcbc13_S14_L001_R1_cut.fastq.gz"	7155	6611
"16738-515rcbc14_S15_L001_R1_cut.fastq.gz"	23420	21317
"16739-515rcbc15_S16_L001_R1_cut.fastq.gz"	24426	20802
"16740-515rcbc16_S17_L001_R1_cut.fastq.gz"	22602	20497
"16741-515rcbc17_S18_L001_R1_cut.fastq.gz"	24294	22041
"16742-515rcbc18_S19_L001_R1_cut.fastq.gz"	16958	15115
"16743-515rcbc19_S20_L001_R1_cut.fastq.gz"	29062	25262
"16744-515rcbc20_S21_L001_R1_cut.fastq.gz"	25842	23957
"16745-515rcbc21_S22_L001_R1_cut.fastq.gz"	24479	21895
"16746-515rcbc22_S23_L001_R1_cut.fastq.gz"	14406	12746
"16747-515rcbc23_S24_L001_R1_cut.fastq.gz"	8486	7648
"16748-515rcbc24_S25_L001_R1_cut.fastq.gz"	13160	11558
"16749-515rcbc25_S26_L001_R1_cut.fastq.gz"	19827	18690
"16750-515rcbc26_S27_L001_R1_cut.fastq.gz"	18341	12203
"16751-515rcbc27_S28_L001_R1_cut.fastq.gz"	14234	11453
"16752-515rcbc28_S29_L001_R1_cut.fastq.gz"	23164	19304
"16753-515rcbc29_S30_L001_R1_cut.fastq.gz"	7583	5533
"16754-515rcbc30_S31_L001_R1_cut.fastq.gz"	18098	15549
"16755-515rcbc31_S32_L001_R1_cut.fastq.gz"	11690	10469
"16756-515rcbc32_S33_L001_R1_cut.fastq.gz"	7908	7783
"16757-515rcbc33_S34_L001_R1_cut.fastq.gz"	12127	8554
"16758-515rcbc34_S35_L001_R1_cut.fastq.gz"	16642	15173
"16759-515rcbc35_S36_L001_R1_cut.fastq.gz"	6602	3258
"16760-515rcbc36_S37_L001_R1_cut.fastq.gz"	22079	19266
"16761-515rcbc37_S38_L001_R1_cut.fastq.gz"	6731	2564
"16763-515rcbc39_S39_L001_R1_cut.fastq.gz"	4104	3206
"16765-515rcbc41_S40_L001_R1_cut.fastq.gz"	11623	10205
"16766-515rcbc42_S41_L001_R1_cut.fastq.gz"	17118	14175
"16767-515rcbc43_S42_L001_R1_cut.fastq.gz"	20230	13969
"16768-515rcbc44_S43_L001_R1_cut.fastq.gz"	8521	7251
"16769-515rcbc45_S44_L001_R1_cut.fastq.gz"	3841	1355
"16770-515rcbc46_S45_L001_R1_cut.fastq.gz"	9059	7728
"16771-515rcbc47_S46_L001_R1_cut.fastq.gz"	7192	5957
"16772-515rcbc48_S47_L001_R1_cut.fastq.gz"	3189	822
"16773-515rcbc49_S48_L001_R1_cut.fastq.gz"	17146	11693
"16774-515rcbc50_S49_L001_R1_cut.fastq.gz"	9291	7466
"16775-515rcbc51_S50_L001_R1_cut.fastq.gz"	4457	3511
"16776-515rcbc52_S51_L001_R1_cut.fastq.gz"	8463	4255
"16777-515rcbc53_S52_L001_R1_cut.fastq.gz"	3125	2598
"16779-515rcbc57_S56_L001_R1_cut.fastq.gz"	12116	10987
"16780-515rcbc112_S105_L001_R1_cut.fastq.gz"	3306	1373
"16781-515rcbc113_S106_L001_R1_cut.fastq.gz"	3798	1973
"16782-515rcbc114_S107_L001_R1_cut.fastq.gz"	2630	468
"16783-515rcbc115_S108_L001_R1_cut.fastq.gz"	4282	3223
"16784-515rcbc60_S59_L001_R1_cut.fastq.gz"	3700	1457
"16785-515rcbc61_S60_L001_R1_cut.fastq.gz"	4678	1246
"16786-515rcbc62_S61_L001_R1_cut.fastq.gz"	2612	1258
"16787-515rcbc63_S62_L001_R1_cut.fastq.gz"	14978	12762
"16788-515rcbc64_S63_L001_R1_cut.fastq.gz"	5910	5522
"16789-515rcbc65_S64_L001_R1_cut.fastq.gz"	5806	2793
"16790-515rcbc66_S65_L001_R1_cut.fastq.gz"	2289	1168
"16791-515rcbc67_S66_L001_R1_cut.fastq.gz"	3009	1281
"16792-515rcbc68_S67_L001_R1_cut.fastq.gz"	3350	916
"16793-515rcbc69_S68_L001_R1_cut.fastq.gz"	8324	6426
"16794-515rcbc70_S69_L001_R1_cut.fastq.gz"	983	456
"16795-515rcbc71_S70_L001_R1_cut.fastq.gz"	1080	215
"16797-515rcbc73_S71_L001_R1_cut.fastq.gz"	1040	152
