Sample_ID	Region	Reef	Collection.Date	Latitude	Longitude	NCBI Biosample accession	Total reads
16724	Curacao	Klein Curacao	11/13/19	11.979767	-68.640382	SAMN45006286	78788
16725	Curacao	Klein Curacao	11/13/19	11.979767	-68.640382	SAMN45006287	17413
16726	Curacao	Klein Curacao	11/13/19	11.979767	-68.640382	SAMN45006288	28505
16727	Curacao	Klein Curacao	11/13/19	11.979767	-68.640382	SAMN45006289	28801
16728	Curacao	Klein Curacao	11/13/19	11.979767	-68.640382	SAMN45006290	11426
16729	Curacao	Klein Curacao	11/13/19	11.979767	-68.640382	SAMN45006291	38936
16730	Curacao	Klein Curacao	11/13/19	11.979767	-68.640382	SAMN45006292	20669
16731	Curacao	Klein Curacao	11/13/19	11.979767	-68.640382	SAMN45006293	44025
16732	Curacao	Korredor (Water Factory)	1/19/20	12.109365	-68.955092	SAMN45006294	40273
16733	Curacao	Korredor (Water Factory)	1/19/20	12.109365	-68.955092	SAMN45006295	49315
16734	Curacao	Korredor (Water Factory)	1/19/20	12.109365	-68.955092	SAMN45006296	24638
16735	Curacao	Playa Kalki	1/20/20	12.376102	-69.159577	SAMN45006297	41441
16736	Curacao	Playa Kalki	1/20/20	12.376102	-69.159577	SAMN45006298	26244
16737	Curacao	Playa Kalki	1/20/20	12.376102	-69.159577	SAMN45006299	16200
16738	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006300	46373
16739	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006301	47956
16740	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006302	47220
16741	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006303	54970
16742	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006304	32776
16743	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006305	57062
16744	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006306	56089
16745	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006307	50624
16746	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006308	31689
16747	Curacao	Double Reef (HBH)	1/21/20	12.10742	-68.95005299	SAMN45006309	19129
16748	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006310	25631
16749	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006311	47770
16750	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006312	26732
16751	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006313	27012
16752	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006314	40373
16753	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006315	13764
16754	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006316	40111
16755	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006317	25900
16756	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006318	20035
16757	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006319	21908
16758	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006320	36321
16759	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006321	8295
16760	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006322	45116
16761	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006323	6547
16763	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006324	8383
16765	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006325	26620
16766	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006326	36836
16767	Curacao	Sea Aquarium	2/3/20	12.08290704	-68.89613598	SAMN45006327	35973
16768	Curacao	Kleine Knip	2/3/20	12.335104	-69.15524399	SAMN45006328	18737
16769	Curacao	Kleine Knip	2/3/20	12.335104	-69.15524399	SAMN45006329	3296
16770	Curacao	Kleine Knip	2/3/20	12.335104	-69.15524399	SAMN45006330	19669
16771	Curacao	Kleine Knip	2/3/20	12.335104	-69.15524399	SAMN45006331	15395
16772	Curacao	Santa Martha Baai	2/3/20	12.26695603	-69.12819902	SAMN45006332	2114
16773	Curacao	Santa Martha Baai	2/3/20	12.26695603	-69.12819902	SAMN45006333	29680
16774	Curacao	Santa Martha Baai	2/3/20	12.26695603	-69.12819902	SAMN45006334	19280
16775	Curacao	Santa Martha Baai	2/3/20	12.26695603	-69.12819902	SAMN45006335	8702
16776	Curacao	Santa Martha Baai	2/3/20	12.26695603	-69.12819902	SAMN45006336	11025
16777	Curacao	Santa Martha Baai	2/3/20	12.26695603	-69.12819902	SAMN45006337	6605
16779	Curacao	Santa Martha Baai	2/3/20	12.26695603	-69.12819902	SAMN45006339	28204
16780	Curacao	Santa Martha Baai	2/3/20	12.26695603	-69.12819902	SAMN45006340	3343
16781	Curacao	Santa Martha Baai	2/3/20	12.26695603	-69.12819902	SAMN45006341	4879
16782	Curacao	Spaanse Water (Spanish Water)	2/5/20	12.063773	-68.85297798	SAMN45006342	1388
16783	Curacao	Spaanse Water (Spanish Water)	2/5/20	12.063773	-68.85297798	SAMN45006343	8298
