""	"Region"	"Reef"	"Collection.Date"	"Latitude"	"Longitude"	"NCBI.Biosample.accession"	"Total.reads"
"16724"	"Curaçao"	"Klein Curacao"	"11/13/19"	"11.979767"	"-68.640382"	"SAMN45006286"	"78788"
"16725"	"Curaçao"	"Klein Curacao"	"11/13/19"	"11.979767"	"-68.640382"	"SAMN45006287"	"17413"
"16726"	"Curaçao"	"Klein Curacao"	"11/13/19"	"11.979767"	"-68.640382"	"SAMN45006288"	"28505"
"16727"	"Curaçao"	"Klein Curacao"	"11/13/19"	"11.979767"	"-68.640382"	"SAMN45006289"	"28801"
"16728"	"Curaçao"	"Klein Curacao"	"11/13/19"	"11.979767"	"-68.640382"	"SAMN45006290"	"11426"
"16729"	"Curaçao"	"Klein Curacao"	"11/13/19"	"11.979767"	"-68.640382"	"SAMN45006291"	"38936"
"16730"	"Curaçao"	"Klein Curacao"	"11/13/19"	"11.979767"	"-68.640382"	"SAMN45006292"	"20669"
"16731"	"Curaçao"	"Klein Curacao"	"11/13/19"	"11.979767"	"-68.640382"	"SAMN45006293"	"44025"
"16732"	"Curaçao"	"Korredor (Water Factory)"	"1/19/20"	"12.109365"	"-68.955092"	"SAMN45006294"	"40273"
"16733"	"Curaçao"	"Korredor (Water Factory)"	"1/19/20"	"12.109365"	"-68.955092"	"SAMN45006295"	"49315"
"16734"	"Curaçao"	"Korredor (Water Factory)"	"1/19/20"	"12.109365"	"-68.955092"	"SAMN45006296"	"24638"
"16735"	"Curaçao"	"Playa Kalki"	"1/20/20"	"12.376102"	"-69.159577"	"SAMN45006297"	"41441"
"16736"	"Curaçao"	"Playa Kalki"	"1/20/20"	"12.376102"	"-69.159577"	"SAMN45006298"	"26244"
"16737"	"Curaçao"	"Playa Kalki"	"1/20/20"	"12.376102"	"-69.159577"	"SAMN45006299"	"16200"
"16738"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006300"	"46373"
"16739"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006301"	"47956"
"16740"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006302"	"47220"
"16741"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006303"	"54970"
"16742"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006304"	"32776"
"16743"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006305"	"57062"
"16744"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006306"	"56089"
"16745"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006307"	"50624"
"16746"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006308"	"31689"
"16747"	"Curaçao"	"Double Reef (HBH)"	"1/21/20"	"12.10742"	"-68.95005299"	"SAMN45006309"	"19129"
"16748"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006310"	"25631"
"16749"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006311"	"47770"
"16750"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006312"	"26732"
"16751"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006313"	"27012"
"16752"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006314"	"40373"
"16753"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006315"	"13764"
"16754"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006316"	"40111"
"16755"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006317"	"25900"
"16756"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006318"	"20035"
"16757"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006319"	"21908"
"16758"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006320"	"36321"
"16759"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006321"	" 8295"
"16760"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006322"	"45116"
"16761"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006323"	" 6547"
"16763"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006324"	" 8383"
"16765"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006325"	"26620"
"16766"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006326"	"36836"
"16767"	"Curaçao"	"Sea Aquarium"	"2/3/20"	"12.08290704"	"-68.89613598"	"SAMN45006327"	"35973"
"16768"	"Curaçao"	"Kleine Knip"	"2/3/20"	"12.335104"	"-69.15524399"	"SAMN45006328"	"18737"
"16769"	"Curaçao"	"Kleine Knip"	"2/3/20"	"12.335104"	"-69.15524399"	"SAMN45006329"	" 3296"
"16770"	"Curaçao"	"Kleine Knip"	"2/3/20"	"12.335104"	"-69.15524399"	"SAMN45006330"	"19669"
"16771"	"Curaçao"	"Kleine Knip"	"2/3/20"	"12.335104"	"-69.15524399"	"SAMN45006331"	"15395"
"16772"	"Curaçao"	"Santa Martha Baai"	"2/3/20"	"12.26695603"	"-69.12819902"	"SAMN45006332"	" 2114"
"16773"	"Curaçao"	"Santa Martha Baai"	"2/3/20"	"12.26695603"	"-69.12819902"	"SAMN45006333"	"29680"
"16774"	"Curaçao"	"Santa Martha Baai"	"2/3/20"	"12.26695603"	"-69.12819902"	"SAMN45006334"	"19280"
"16775"	"Curaçao"	"Santa Martha Baai"	"2/3/20"	"12.26695603"	"-69.12819902"	"SAMN45006335"	" 8702"
"16776"	"Curaçao"	"Santa Martha Baai"	"2/3/20"	"12.26695603"	"-69.12819902"	"SAMN45006336"	"11025"
"16777"	"Curaçao"	"Santa Martha Baai"	"2/3/20"	"12.26695603"	"-69.12819902"	"SAMN45006337"	" 6605"
